Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Слюсар,Костянтин,Богданович,Ч,2005-05-01,Композитор,місто Довжанськ,"вулиця Хутірський, буд. 662 кв. 0, Кам'янець-Подільський, 81773",289-77-37,aovsiienko@example.org
Христич,Теодор,Степанович,Ч,2005-06-01,Драматург,хутір Бережани,"сквер Кавказький, буд. 194, Златопіль, 40704",742-57-23,bohdanfranchuk@example.org
Рябченко,Руслан,Олександрович,Ч,1977-08-24,Композитор,місто Стрий,"набережна Уманська, буд. 244, Волноваха, 43543",+380 81 013-23-17,anita88@example.com
Гупало,Дмитро,Сергійович,Ч,1968-08-23,Намотувальник,селище Харків,"провулок Вчительської, 2-й, буд. 346 кв. 94, Білогірськ, 41463",062 574-03-08,bartymovych@example.com
Базилевський,Давид,Романович,Ч,1993-03-23,Візажист,село Бурштин,"шосе Кордонна, буд. 9, Балаклія, 39087",091 753 53 66,skopenkostefan@example.net
Базилевський,Захар,Іванович,Ч,1979-07-25,Журналіст,хутір Вуглегірськ,"сквер Мелодійний, буд. 851 кв. 389, Луцьк, 07645",+380 (38) 444-58-29,jdeineko@example.org
Данилюк,Анастасія,Степанівна,Ж,1983-01-17,Композитор,місто Вишневе,"вулиця Ланжерон, буд. 3 кв. 60, Одеса, 16401",+380 11 517-85-05,okseniia88@example.net
Іванченко,Артем,Петрович,Ч,1973-06-22,Етнограф,хутір Помічна,"шосе Чорноморський 1-й, буд. 3 кв. 46, Перечин, 13730",651 45 80,ekhorishko@example.org
Баштан,Віолетта,Василівна,Ж,1950-05-19,Філолог,село Хорол,"сквер Десантний, буд. 559, Молочанськ, 18231",+380 82 283-42-75,olhashvachka@example.com
Фастенко,Віолетта,Богданівна,Ж,1999-09-28,Інженер,місто Моршин,"сквер Іспанська, буд. 533 кв. 7, Кобеляки, 47216",+380 49 158 58 83,alla00@example.org
Артимович,Олександр,Степанович,Ч,1957-03-19,Євнух,селище Бахчисарай,"вулиця Люстдорфський, буд. 118 кв. 861, Подільськ, 12838",+380 (73) 998-23-67,roman14@example.net
Авдєєнко,Богуслав,Романович,Ч,2003-03-21,Сантехнік,селище Гребінка,"проспект Соляний 1-й, буд. 11 кв. 40, Роздільна, 66662",+380 45 290-84-84,aleksiukamvrosii@example.net
Макаренко,Варвара,Ігорівна,Ж,1985-12-17,Мінералог,місто Южне,"шосе Петра Біциллі, буд. 7, Щастя, 29847",800 78 12,verkholahanna@example.net
Єременко,Олександр,Тарасович,Ч,1972-03-30,Єгер,селище Горлівка,"провулок Лобачевського, буд. 59, Бібрка, 09430",+380 43 801 85 59,frantsirvanets@example.net
Корпанюк,Августин,Іванович,Ч,1993-03-16,Професор,село Ірпінь,"сквер Люстдорфський, буд. 92 кв. 472, Носівка, 32304",+380 81 339-52-34,ekovalenko@example.net
Оніщук,Любов,Олександрівна,Ж,1972-03-15,Вчитель,місто Жданівка,"набережна Бузковий 1-й, буд. 393 кв. 96, Заліщики, 46816",004 58 71,sofiia08@example.net
Чумаченко,Аніта,Юріївна,Ж,1998-10-26,Прокурор,село Черкаси,"провулок Вершинна, буд. 602 кв. 8, Львів, 36147",+380 (76) 600-86-40,boleslav73@example.com
Бабариченко,Орест,Максимович,Ч,1977-01-06,Прокурор,село Ялта,"парк Виноградна 1-ша, буд. 4, Нове Давидково, 65529",+380 26 457 92 27,okhrimenkoodarka@example.net
Шамрай,Микита,Андрійович,Ч,2010-08-10,Режисер,селище Лутугине,"площа Удільний, буд. 5 кв. 6, Селидове, 11071",852 85 55,lredko@example.net
Товстоліс,Климент,Петрович,Ч,1949-02-19,Паралегал,селище Скалат,"площа Озерна, буд. 69 кв. 979, Вінниця, 46840",919 54 13,ielysaveta48@example.org
Бакуменко,Людмила,Григорівна,Ж,1969-07-01,Астрофізик,місто Березне,"провулок Дальницьке, буд. 473, Кам'янське, 55267",019 265-34-67,ykorbut@example.net
Ващук,Теодор,Сергійович,Ч,1959-08-20,Журналіст,хутір Глобине,"площа Сергія Уточкіна, буд. 9, Зборів, 75436",+380 61 475-06-44,lizasymonenko@example.net
Бабійчук,Марʼяна,Григорівна,Ж,1968-09-03,Кінорежисер,селище Ананьїв,"провулок Горизонтальна, буд. 006 кв. 75, Острог, 34531",573 18 57,vitaliikonoplenko@example.org
Зарудний,Зиновій,Григорович,Ч,1958-12-18,Електрик,місто Глухів,"провулок Яружний, буд. 24, Буськ, 79398",805-47-88,amaliiaizhak@example.net
Іваненко,Назар,Олександрович,Ч,1988-11-17,Гірничий інженер,село Жовті Води,"сквер Квіткова, буд. 22 кв. 3, Татарбунари, 91653",069 203 59 38,anzhela66@example.com
Павлик,Орхип,Миколайович,Ч,1975-05-28,Стоматолог,місто Ворожба,"проспект Виїзна, буд. 84 кв. 16, Заставна, 10481",+380 16 459-94-11,monyshchenko@example.org
Царенко,Марина,Богданівна,Ж,1996-11-12,Нотаріус,хутір Вознесенськ,"проспект Супутників, буд. 219, Борзна, 58723",725-80-96,anita18@example.com
Кармалюк,Тарас,Романович,Ч,1977-08-27,Няня,селище Баранівка,"узвіз Крушельницької, буд. 65 кв. 8, Тлумач, 78531",+380 (14) 401-66-61,nikoliukrostyslav@example.com
Рак,Богданна,Дмитрівна,Ж,1983-05-19,Фермер,село Канів,"вулиця Чорноморський 3-й, буд. 2, Вишгород, 84593",186 78 78,kyrylenkomariana@example.net
Андрійович,Орина,Олегівна,Ж,2007-12-04,Няня,селище Кам'янка-Бузька,"сквер Скрипковий, буд. 58, Пустомити, 39949",+380 14 431-92-31,wzakharenko@example.org
Шаблій,Марʼяна,Євгенівна,Ж,1964-07-02,Правник,місто Комарно,"парк Спортивний, буд. 085, Миколаївка, 32331",+380 20 358 35 76,valentynorlyk@example.net
Жайворон,Єлисей,Романович,Ч,2001-04-13,Шериф,селище Шептицький,"вулиця Басейний 6-й, буд. 5, Прилуки, 87094",+380 56 686-14-97,riabetspanas@example.org
Верес,Оксана,Юріївна,Ж,1997-05-29,Шериф,селище Докучаєвськ,"парк Ганса Германа, буд. 96, Южне, 90368",+380 (62) 132-16-79,danylovasylevych@example.net
Забіла,Едита,Максимівна,Ж,1980-04-06,Дерун,село Ворожба,"вулиця Лузанівський, буд. 60 кв. 33, Берислав, 38107",058 641-86-62,qartiukh@example.net
Корж,Наталія,Романівна,Ж,1975-12-20,Астронавт,місто Зоринськ,"узвіз Раїси Сергієнко, буд. 07, Отаманівка, 18688",+380 19 553-01-95,opanas49@example.net
Авдєєнко,Едуард,Сергійович,Ч,1961-07-30,Стиліст,хутір Чернівці,"парк Миргородський, буд. 091, Збараж, 65161",+380 69 230-54-14,adatsymbaliuk@example.net
Перебийніс,Лариса,Василівна,Ж,1997-05-12,Підприємець,місто Вугледар,"проспект Сьома, буд. 64, Ковель, 54359",+380 79 179-02-54,adamenkoadam@example.net
Вітрук,Вікторія,Ігорівна,Ж,1954-07-27,Стоматолог,село Баранівка,"шосе Вапняний 1-й, буд. 610, Дніпрорудне, 99961",+380 99 909 63 67,roksolanaprokopovych@example.net
Іваничук,Орися,Іванівна,Ж,2005-11-14,Співак,місто Тячів,"провулок Велика Арнаутська, буд. 73, Радивилів, 83322",+380 70 479-55-39,sychorysia@example.org
Андрієнко,Розалія,Богданівна,Ж,1973-07-21,Архітектор,хутір Новояворівськ,"шосе Топольського, буд. 230 кв. 56, Фастів, 32665",+380 85 282-91-49,yreva@example.org
Аронець,Любов,Сергіївна,Ж,2001-10-31,Ді-джей,село Брянка,"набережна Лютеранський, буд. 821 кв. 7, Бібрка, 39148",066 408-04-62,chumachenkozlatoslava@example.com
Романець,Марина,Дмитрівна,Ж,1983-04-17,Прокурор,село Дрогобич,"узвіз Берестейська, буд. 05 кв. 6, Рахів, 23546",+380 94 648-25-96,sychstefan@example.net
Дробʼязко,Анастасія,Дмитрівна,Ж,1955-12-21,Педагог,хутір Новодністровськ,"вулиця Деревообробний 1-й, буд. 03 кв. 0, Мала Виска, 83364",059 829-52-52,ievhen05@example.net
Верменич,Камілла,Вікторівна,Ж,1966-06-14,Льотчик,хутір Ніжин,"узвіз Лютневий 1-й, буд. 712, Кадіївка, 27525",009 716-38-90,shapovalieva@example.org
Дробаха,Онисим,Леонідович,Ч,2008-02-08,Астрофізик,село Вінниця,"проспект Князя Володимира Великого , буд. 21, Радивилів, 87727",002 410-24-56,tetianababarychenko@example.com
Девдюк,Устим,Степанович,Ч,2003-04-02,Музичний редактор,місто Решетилівка,"площа Довга, буд. 28 кв. 8, Борислав, 31638",049 224-91-70,artiukhmykhailo@example.org
Туркало,Аліна,Вікторівна,Ж,1953-05-24,Швачка,хутір Камінь-Каширський,"набережна Місячний, буд. 071, Вознесенівка, 84523",350 59 01,haidaizorian@example.net
Сірченко,Олесь,Богданович,Ч,1970-10-24,Мікробіолог,хутір Обухів,"провулок Братів Малакових, буд. 179 кв. 46, Козятин, 65918",063-64-73,arkadii66@example.com
Андрійчук,Ірина,Миколаївна,Ж,1947-06-29,Історик,село Амвросіївка,"набережна Баркасний, буд. 337 кв. 517, Роздільна, 67792",076-20-40,vira40@example.com
Оробець,Ліза,Петрівна,Ж,1982-12-25,Візажист,селище Феодосія,"сквер Велика Садова, буд. 67 кв. 8, Герца, 71872",297 83 58,fesenkopylyp@example.com
Левченко,Едуард,Романович,Ч,1984-11-09,Фармацевт,місто Татарбунари,"шосе Травневий 5-й, буд. 58 кв. 7, Могилів-Подільський, 77325",014 483-51-10,varvaraoberemko@example.net
Джус,Святослав,Олегович,Ч,2005-02-18,Актор,селище Ніжин,"парк Джинестрівська, буд. 876 кв. 0, Ровеньки, 74829",+380 58 893 91 63,iustyna99@example.com
Ємець,Єфрем,Романович,Ч,1980-08-23,Мінералог,село Чортків,"сквер Буковинська, буд. 341, Ромни, 49781",013 374-15-85,prymachenkosviatoslav@example.net
Девдюк,Остап,Олегович,Ч,1952-02-13,Євнух,хутір Благовіщенське,"набережна Надіїі, буд. 13 кв. 601, Тиврів, 33308",047 066 21 18,bohuslavvobla@example.com
Дашенко,Тимофій,Максимович,Ч,2007-07-19,Будник,село Рудки,"шосе Пересипська 8-ма, буд. 98, Луцьк, 44649",+380 25 642-28-72,knesterenko@example.com
Піддубна,Марта,Андріївна,Ж,2002-03-09,Бібліотекар,хутір Коростишів,"набережна Лінія 46-та, буд. 3 кв. 592, Тетіїв, 79109",+380 88 896 66 00,nataliia57@example.net
Демиденко,Йосип,Петрович,Ч,1987-12-28,Актор,село Могилів-Подільський,"проспект Патріотична, буд. 3, Берестин, 02322",000 545-97-85,atsiupa@example.org
Дутка,Владислав,Петрович,Ч,1985-02-18,Музичний редактор,село Збараж,"шосе Глаубермана, буд. 8, Лубни, 08882",084 315 50 39,deinekaiarema@example.org
Андрейко,Ярема,Олегович,Ч,1955-01-03,Краєзнавець,село Добропілля,"проспект Літакова, буд. 9 кв. 5, Білопілля, 90333",+380 (62) 468-56-93,sviatoslava62@example.net
Устенко,Вʼячеслав,Олегович,Ч,1946-03-02,Провізор,село Кіцмань,"сквер Парашутний, буд. 6 кв. 4, Яворів, 44117",020 214-55-52,irenazasenko@example.com
Ємець,Зиновій,Леонідович,Ч,1978-01-30,Драматург,селище Сватове,"проспект Елеваторна, буд. 593, Сніжне, 62948",041 848 44 05,mykhailynademianiuk@example.com
Копитко,Ілля,Іванович,Ч,2009-06-09,Швачка,село Сіверськодонецьк,"площа Поштова, буд. 458, Новоград-Волинський, 51876",069 100-96-17,fperepelytsia@example.net
Артимишин,Наталія,Петрівна,Ж,2002-02-12,Парфюмер,село Переяслав,"площа Кипарисний 2-й, буд. 291 кв. 438, Шептицький, 46650",+380 79 391-29-26,havrylo27@example.com
Негода,Соломон,Іванович,Ч,2005-01-12,Льотчик,селище Охтирка,"сквер Байкал тупик, буд. 0 кв. 10, Іршава, 67029",094-06-07,tetiana20@example.com
Аверченко,Одарка,Дмитрівна,Ж,1984-12-13,Мікробіолог,селище Голубівка,"узвіз Сливовий, буд. 13 кв. 202, Алчевськ, 68690",+380 23 261-98-02,arkadiifurs@example.net
Ґерус,Орина,Богданівна,Ж,1952-08-02,Єгер,селище Фастів,"провулок Південна, буд. 35 кв. 536, Марганець, 17688",586 83 49,avramenkookseniia@example.net
Захарченко,Демид,Миколайович,Ч,1995-09-23,Перекладач,місто Іловайськ,"шосе Бориса Кифоренка, буд. 29, Красноперекопськ, 18058",+380 (70) 835-13-87,shakhraiiarema@example.net
Романчук,Адам,Олександрович,Ч,1999-10-11,Кінолог,хутір Куп'янськ,"проспект Чернишевського, буд. 12, Львів, 76015",+380 14 470-72-58,anitakadeniuk@example.net
Бандурка,Ярослав,Максимович,Ч,1973-09-30,Антрополог,місто Гнівань,"проспект Радісна, буд. 23, Винники, 70052",018 602-22-96,vbabenko@example.net
Матвієнко,Марина,Богданівна,Ж,1951-04-22,Економіст,село Дубляни,"набережна Володимира Хавкіна, буд. 91, Тальне, 18260",+380 42 504 57 44,khomapavlychenko@example.org
Ковалюк,Василь,Васильович,Ч,1992-02-13,Паблік рилейшнз,місто Зугрес,"парк Професора Каришковського, буд. 682, Суми, 81311",+380 18 332-92-14,danchukmariia@example.net
Гайдабура,Арсен,Богданович,Ч,1960-04-21,Актор,хутір Слов'янськ,"шосе Восьмого березня, буд. 957 кв. 7, Суходільськ, 87625",013 344 77 85,bohodar09@example.org
Лесик,Надія,Романівна,Ж,1979-02-27,Письменник,місто Вишгород,"шосе Демократична, буд. 053 кв. 292, Брянка, 62390",+380 (41) 166-56-47,spaschervonenko@example.com
Швайка,Борислав,Андрійович,Ч,1958-08-14,Літературознавець,селище Бобровиця,"провулок Нерубайська, буд. 598 кв. 463, Городок, 42202",+380 82 300 03 14,cskoryk@example.com
Архипенко,Йосип,Петрович,Ч,2005-06-13,Педагог,хутір Боярка,"сквер Сотника Лугіна, буд. 0, Глухів, 39141",+380 98 349-68-41,marynavobla@example.net
Шаповал,Віталій,Григорович,Ч,1960-01-17,Програміст,місто Київ,"вулиця Лиманчик 2-й Лінія 1-ша, буд. 714, Олевськ, 46726",+380 (45) 725-31-47,korzhamaliia@example.net
Примаченко,Франц,Богданович,Ч,2011-11-05,Кушнір,село Хутір-Михайлівський,"вулиця Гіацинтовий, буд. 8 кв. 0, Харків, 50713",777 64 67,levko51@example.net
Килимник,Аніта,Вікторівна,Ж,1979-12-06,Палеонтолог,селище Чортків,"площа Людмили Гінзбург, буд. 7 кв. 2, Борислав, 21875",+380 39 477-74-82,lesfranko@example.net
Ярош,Леонтій,Максимович,Ч,2003-11-08,Водій,село Отаманівка,"шосе Артилерійська, буд. 668, Южноукраїнськ, 83902",492-83-49,avhustyn14@example.com
Кабалюк,Михайлина,Тарасівна,Ж,1947-10-14,Слідчий,хутір Красилів,"парк Ширяївський, буд. 4, Славута, 38831",+380 13 226 60 76,romanartym@example.org
Баштан,Амалія,Вікторівна,Ж,2002-07-20,Штукатур,селище Тараща,"площа Промисловий, буд. 471 кв. 48, Дрогобич, 05118",+380 (43) 789-95-74,perepelytsialevko@example.net
Теличенко,Данило,Олегович,Ч,1978-03-05,Кіноактор,селище Черкаси,"сквер Привокзальний, буд. 34, Путивль, 21529",+380 50 605-94-40,adam76@example.org
Непорожній,Олександр,Олегович,Ч,1965-05-03,Стоматолог,селище Угнів,"площа Восьмого березня 8-й, буд. 88, Вашківці, 02459",+380 (50) 422-22-13,cherednykstefan@example.net
Товстоліс,Сніжана,Олегівна,Ж,2006-06-24,Композитор,хутір Камінь-Каширський,"сквер Демократична, буд. 205 кв. 563, Бершадь, 45462",021 456 31 88,zabilaielysei@example.org
Хоменко,Давид,Степанович,Ч,1983-12-20,Льотчик,місто Костопіль,"парк Верф’яний, буд. 83 кв. 9, Радивилів, 29438",616 21 43,nadiiatsiutsiura@example.net
Кальченко,Віктор,Євгенович,Ч,1957-11-29,Режисер,село Броди,"сквер Лінія 24-та, буд. 98 кв. 290, Дубровиця, 94854",+380 (87) 410-70-11,vadym99@example.net
Сич,Тарас,Вікторович,Ч,2008-04-01,М'ясник,місто Тисмениця,"парк Ференца Ліста, буд. 13, Федорівка, 60850",042 61 03,varfolomiirubets@example.com
Михайличенко,Павло,Олександрович,Ч,1973-02-27,Гірник,село Миколаївка,"вулиця Керченський 1-й, буд. 26, Ніжин, 61069",093 751-98-21,chumakserhii@example.net
Євтушок,Розалія,Олегівна,Ж,1949-06-10,Кур'єр,селище Березівка,"шосе Андреєвського, буд. 951, Євпаторія, 99731",601 06 86,emiliiazabarna@example.com
Цісик,Роман,Сергійович,Ч,1979-11-27,Електрик,хутір Бершадь,"проспект Базарна, буд. 611, Гуляйполе, 14414",+380 58 767-60-88,zorian47@example.com
Романець,Варвара,Андріївна,Ж,1973-12-24,Флорист,хутір Бобринець,"провулок Квітнева, буд. 661, Рудки, 09504",+380 (11) 396-85-45,panteleimonbarannyk@example.org
Дейнека,Христина,Євгенівна,Ж,1963-01-25,Епідеміолог,селище Верхньодніпровськ,"парк Злакова, буд. 8 кв. 93, Рава-Руська, 30772",061 064-91-79,havrylo50@example.net
Александренко,Олекса,Вікторович,Ч,1963-01-25,Клоун,село Барвінкове,"проспект Проектований 3-й, буд. 70 кв. 021, Білозерське, 66707",807 41 91,lsalii@example.org
Чорновіл,Ольга,Сергіївна,Ж,1983-10-05,Кінокритик,хутір Покров,"вулиця Коцюбинського, буд. 65 кв. 208, Херсон, 40133",+380 45 784-50-20,danylo85@example.net
Швачка,Лариса,Вікторівна,Ж,1993-01-24,Водій,хутір Сновськ,"узвіз Віталія Нестеренка, буд. 744, Вишгород, 34150",+380 (03) 465-26-64,amaliia48@example.net
Гресь,Марʼяна,Андріївна,Ж,1946-08-28,Хореограф,село Балаклія,"вулиця Лиманчик 2-й Лінія 5-та, буд. 768 кв. 123, Моршин, 52582",+380 83 820-12-21,anzhelaabramenko@example.net
Яценко,Анжела,Григорівна,Ж,1973-10-03,Мірошник,село Умань,"площа Дачна, буд. 55 кв. 5, Ромни, 59775",005 366-35-43,kyrylo84@example.net
Гаврилів,Зиновій,Тарасович,Ч,1985-08-27,Електромонтажник,хутір Селидове,"проспект Нечипуренка, буд. 03, Скалат, 32542",+380 30 698-58-34,orysiaivashchenko@example.org
Гаврилюк,Роксолана,Тарасівна,Ж,1987-12-06,Редактор,селище Заводське,"шосе Князя Володимира Великого , буд. 738, Старий Крим, 35787",+380 41 324 94 91,terezagalagan@example.org
Іващенко,Леонтій,Максимович,Ч,1962-12-19,Актор,хутір Вовчанськ,"площа Травневий 2-й, буд. 6, Семенівка, 94140",054 41 42,varvara21@example.org
Слюсар,Мілена,Іванівна,Ж,2006-11-17,Астроном,селище Чорнобиль,"проспект Георгія Липського, буд. 30, Вишгород, 93836",+380 (16) 332-87-52,venedyktdanylchuk@example.net
Андрійчук,Богданна,Андріївна,Ж,1975-05-01,Археолог,село Васильків,"провулок Флотська, буд. 85, Мар'їнка, 36226",+380 19 734-58-77,levkoshyian@example.com
